,,,
,,,
Weapon_Lsword_001,Traveler's Claymore,旅人雙手劍,在各地旅行的冒險者愛用的雙手劍。\n和怪物戰鬥時，可以活用其重量\n將敵人的盾牌擊飛。
Weapon_Lsword_002,Soldier's Claymore,士兵雙手劍,經過改良後用於戰鬥的雙手劍。\n因為又大又重，所以很難上手。\n不過十分堅固，可以長時間戰鬥。
Weapon_Lsword_003,Knight's Claymore,騎士雙手劍,即便是守衛海拉魯城堡的騎士，\n也只有對力量特別有自信的人才會攜帶這把大劍。\n劍刃被打磨得很鋒利。
Weapon_Lsword_004,Boko Bat,波克棍,波克布林製作的粗糙棍棒。\n根據擊中的位置，能夠發揮很大的威力\n擊飛對手手持的盾牌。
Weapon_Lsword_005,Spiked Boko Bat,尖刺波克棍,波克布林為了提高武器的攻擊力，\n將波克棍加上了動物骨頭製成的尖刺。\n直接擊中對手的話，會造成相當大的傷害。
Weapon_Lsword_006,Dragonbone Boko Bat,龍骨波克棍,將波克棍和化石骨頭組合成的棍棒。\n十分堅固，攻擊力也很強，可以打倒強敵。\n波克布林中也只有一部分的強者才能使用。
Weapon_Lsword_010,Moblin Club,莫力布林棍,莫力布林愛用的簡陋棍棒。\n以堅硬的木頭製成，\n因為作工粗糙，所以很快就會壞掉。
Weapon_Lsword_011,Spiked Moblin Club,尖刺莫力布林棍,莫力布林經過改良的雙手武器。\n因為綁上了動物的骨頭，\n打擊時能給予對手更大的傷害。
Weapon_Lsword_012,Dragonbone Moblin Club,龍骨莫力布林棍,綁上了遠古獸骨的莫力布林棍。\n像斧頭一樣將重心設計在前端。\n能使用它的莫力布林都是戰鬥老手，十分危險。
Weapon_Lsword_013,Ancient Battle Axe,守護者之斧,小型守護者裝備的武器。\n寬而薄的刀身運用了古代技術，\n擁有很高的攻擊力，但結構脆弱，容易損壞。
Weapon_Lsword_014,Ancient Battle Axe+,守護者之斧+,強化了輸出的守護者之斧。\n根據了解，此武器不但能夠用於實戰，\n還可以破壞障礙物，開闢前進的道路。
Weapon_Lsword_015,Ancient Battle Axe++,守護者之斧++,為了將敵人劈成兩半\n而將輸出增強至最大限度的守護者之斧。\n用古代技術實現了金屬製武器比不上的高斬斷力。
Weapon_Lsword_016,Lynel Crusher,萊尼爾大劍,萊尼爾攜帶的雙手武器。與其說是劍，\n不如說只是普通的金屬塊。但以萊尼爾之力\n揮舞的話，就會成為可以粉碎大部分物體的凶器。
Weapon_Lsword_017,Mighty Lynel Crusher,獸王大劍,萊尼爾的雙手武器，前端鑲上高硬度的金屬，\n增加了其威力和耐用度。能以壓倒性的力量，\n連同盾牌、鎧甲將敵人整個擊碎。
Weapon_Lsword_018,Savage Lynel Crusher,獸神大劍,由於使用了取自死亡之山山頂的特殊金屬，\n因此特別沉重的雙手武器。\n揮下此劍使出的攻擊，具有無可比擬的破壞力。
Weapon_Lsword_019,Moblin Arm,莫力布林之骨,即使只剩手臂也還能動的莫力布林骨頭。\n又長又粗的骨頭具有足以當成武器的威力，\n但也非常脆弱，容易壞掉。
Weapon_Lsword_020,Rusty Claymore,生鏽的雙手劍,被長時間棄置而生鏽的大劍。\n雖然可以當作武器，但十分不耐用，\n用個幾次之後就會壞掉。
Weapon_Lsword_023,Ancient Bladesaw,古代兵裝‧大劍,使用古代希卡族技術的雙手劍。\n構造特殊，藍色劍刃沿著劍身旋轉。\n非常鋒利，能將敵人斬成兩半。
Weapon_Lsword_024,Royal Claymore,王族雙手劍,賜給海拉魯王族直屬部隊的大劍。\n據說劍刃的強力攻擊，\n連對手的心臟都能擊碎。
Weapon_Lsword_027,Silver Longsword,卓拉大劍,卓拉族使用特殊金屬製作的大劍。\n由於卓拉人偏好用槍，所以沒什麼人使用它。\n但其美麗的刀身設計十分受海利亞人喜愛。
Weapon_Lsword_029,Golden Claymore,格魯德雙手劍,格魯德族士兵中，只有善於劍術的人\n才被允許裝備這把大劍。\n製作得比外觀看起來輕巧，易於使用。
