,,附註：,弓（WeaponBow）、箭（Bullet）本來是兩個分開的檔案；帶 TP 的光箭應該是 Twilight Princess
,,,
Weapon_Bow_001,Traveler's Bow,旅人之弓,旅人防身用的小型弓。\n有箭的話可以攻擊一定距離以外的敵人。
Weapon_Bow_002,Soldier's Bow,士兵之弓,提高攻擊力的戰鬥用弓。\n可以給予目標較大的傷害。\n因為是木頭做的，所以一著火就會燒起來。
Weapon_Bow_003,Spiked Boko Bow,尖刺波克弓,綁上動物骨頭強化後的波克弓。\n作工粗糙，但是很輕，而且容易上手。\n變得比較耐用，射擊的威力也增加了。
Weapon_Bow_004,Boko Bow,波克弓,波克布林使用的簡陋的弓。\n因為只是將弓弦繃在隨處可見的樹枝上，\n所以沒辦法期待它的威力。
Weapon_Bow_006,Lizal Bow,蜥蜴弓,蜥蜴戰士用木頭製作的弓。\n和大型魚的骨頭組合而成，\n比普通的木弓比起來破壞力更強。
Weapon_Bow_009,Lynel Bow,萊尼爾之弓,萊尼爾攜帶的堅固金屬弓。\n可以同時射出複數支箭，\n分散的軌道最適合用來射落行動迅速的敵人。
Weapon_Bow_011,Strengthened Lizal Bow,強力蜥蜴弓,手柄使用金屬強化過的蜥蜴弓。\n使用了生長在水邊的樹木枝幹做成弓身，\n擁有不可小覷的射擊性能。
Weapon_Bow_013,Forest Dweller's Bow,森民之弓,據說是克洛格族為了人類而製作的弓。\n用優質的木材和堅固的草藤製作而成。\n與其樸素外表相反，可以一次發射好幾支箭。
Weapon_Bow_014,Silver Bow,卓拉之弓,卓拉族在打漁時等用的弓。\n射擊性能比較沒有那麼好，但用特殊的金屬製成，\n所以比外表看起來還要耐用。
Weapon_Bow_015,Golden Bow,格魯德之弓,格魯德族所使用的弓，上頭有著細緻的裝飾。\n這把弓是為了在廣闊沙漠中狩獵或戰鬥而設計，\n可以瞄準並射擊遠處的物體。
Weapon_Bow_016,Swallow Bow,飛燕弓,利特族平常使用的弓。\n適合在空中射擊。弓弦經過設計，\n和普通的弓比起來更好拉開。
Weapon_Bow_017,Falcon Bow,遊隼弓,利特族名匠製作的精品，\n善於空中戰的利特族戰士愛用的弓。\n和普通的弓比起來更好拉開。
Weapon_Bow_023,Ancient Bow,古代兵裝‧弓,應用了洛貝利研究成果製成的高性能弓。\n使用了古代希卡族的技術，\n可以沿著筆直的軌跡射出箭。
Weapon_Bow_026,Mighty Lynel Bow,獸王弓,相當沉重的萊尼爾之弓。\n不只是弓身，連弓弦也是用強韌的金屬製成。\n對於普通的人類來說很難拉開。
Weapon_Bow_027,Dragon Bone Boko Bow,龍骨波克弓,與化石骨頭組成強化後的波克弓。\n好像是用波克布林嚴選的材料製成，\n射擊性能相當不錯。
Weapon_Bow_028,Great Eagle Bow,大鷲弓,英傑力巴爾所攜帶的稀有名弓。\n據說在空中戰中，從沒有人贏過\n風一般疾速拉開此弓的力巴爾。
Weapon_Bow_029,Phrenic Bow,一心之弓,希卡族流傳至今的弓。集中精神拉開此弓，\n就能夠像瞄準近處的物體一樣，\n輕易射中遠處的敵人。
Weapon_Bow_030,Steel Lizal Bow,鋼鐵蜥蜴弓,只有善於使弓的蜥蜴戰士才能持有這把弓。\n使用了大量金屬強化其本體，\n有一定的重量，但也更耐用。
Weapon_Bow_032,Savage Lynel Bow,獸神弓,萊尼爾的鋼弓，以死亡之山山頂的特殊金屬製成。\n可以一次射出複數支箭，具有可怕的威力，\n能像射中紙一樣穿透很厚的鎧甲。
Weapon_Bow_033,Royal Guard's Bow,近衛之弓,希卡族因應大災厄而製作的弓。\n是使用了古代技術的實驗性武器，\n擁有優異的射擊性能和射速，但也很不耐用。
Weapon_Bow_035,Knight's Bow,騎士之弓,海拉魯城堡的騎士們使用的弓。\n沒有特殊之處，很好上手，可以穩定地射擊。\n因為是金屬製的，所以十分耐用。
