,,,
,,,
Weapon_Spear_001,Traveler's Spear,旅人之槍,旅人為了保護自己不受狼等野生動物傷害\n而隨身攜帶的護身用槍，\n好握又順手。
Weapon_Spear_002,Soldier's Spear,士兵之槍,城堡裡的士兵所使用的長槍。\n必須經過充分鍛鍊才有辦法隨意揮舞。\n鐵製槍尖十分堅硬，即使著火也不會延燒到槍柄。
Weapon_Spear_003,Knight's Halberd,騎士之槍,為了能熟練使用武器的騎士而製作的槍。\n槍頭帶有像斧頭一般的刀刃為其特徵。\n據說經常於騎馬時使用。
Weapon_Spear_004,Boko Spear,波克槍,將粗壯樹枝胡亂削出簡陋外型的槍。\n似乎可以用來串刺肉或魚，將其放在火上烤。
Weapon_Spear_005,Spiked Boko Spear,尖刺波克槍,波克布林的槍，以鋒利的動物骨頭做為槍頭。\n和擁有金屬槍尖的槍比起來更為輕巧，\n比外觀看起來容易上手。
Weapon_Spear_006,Dragonbone Boko Spear,龍骨波克槍,在槍尖綁上堅硬化石骨頭製成的槍。\n化石上的牙能夠重擊敵人。\n所以得注意裝備了此槍的波克布林。\n
Weapon_Spear_007,Lizal Spear,蜥蜴槍,普通的蜥蜴戰士所裝備的槍。\n槍頭擁有波浪狀的刃面為其特徵。\n因為不太堅固，所以不適合長時間使用。
Weapon_Spear_008,Enhanced Lizal Spear,強力蜥蜴槍,蜥蜴戰士的槍，有著像魚叉般的槍頭。\n似乎也可以用來捕魚。\n非常鋒利，需要特別注意，千萬別拿反了。
Weapon_Spear_009,Forked Lizal Spear,雙頭蜥蜴槍,蜥蜴戰士中特別驍勇善戰者愛用的槍。\n穿透力不高，但是兩片波浪狀的槍刃\n造成的裂傷會重擊對方。
Weapon_Spear_010,Moblin Spear,莫力布林槍,莫力布林使用的木槍。\n將森林裡的木頭胡亂削尖製成槍頭，\n突刺力不高，也不太耐用。
Weapon_Spear_011,Spiked Moblin Spear,尖刺莫力布林槍,莫力布林的槍，\n槍頭為有角動物的骨頭。作工雖然粗糙，\n但是銳利尖角的突刺力不容小看。
Weapon_Spear_012,Dragonbone Moblin Spear,龍骨莫力布林槍,擁有豐富戰鬥經驗的莫力布林愛用的槍。\n槍尖使用了複數個堅硬的化石骨頭。\n骨頭上的尖刺能增強突刺的威力。
Weapon_Spear_013,Guardian Spear,守護者之槍,小型守護者裝備的槍。\n只有在持槍時槍尖會發光，穿透力很強，\n充滿展現古代希卡族的技術水準。
Weapon_Spear_014,Guardian Spear+,守護者之槍+,加大槍尖的守護者之槍。\n可能是考量到在狹窄處使用的狀況，\n因此槍柄比海拉魯一般的槍要更短一些。
Weapon_Spear_015,Guardian Spear++,守護者之槍++,將攻擊力強化至最高的守護者之槍。\n運用古代技術製成的槍頭，其設計特別適合突刺，\n具有能輕易刺穿大多數防具的高穿透力。
Weapon_Spear_016,Lynel Spear,萊尼爾之槍,萊尼爾的槍，擁有如巨大彎刀般的槍尖。\n沉重的前端造成整體重量不平衡，所以使用困難。\n但是萊尼爾只用單手就能輕鬆揮動此槍。
Weapon_Spear_017,Mighty Lynel Spear,獸王槍,更為鋒利、沉重的萊尼爾之槍。\n據說普通的人類光是舉起此槍都十分吃力，\n但讓萊尼爾揮舞此槍，甚至能斬碎岩石。
Weapon_Spear_018,Savage Lynel Spear,獸神槍,據說是白髮萊尼爾愛用的槍。\n擁有如斧頭般的槍尖，利用超常的重量\n施展出的突刺，具有極大的破壞力。
Weapon_Spear_021,Rusty Halberd,生鏽的槍,很久以前騎士使用的生鏽的槍。\n也許是因為長時間受到風吹雨打，\n槍頭損壞嚴重，很不耐用。
Weapon_Spear_022,Farmer's Pitchfork,農用釘耙,為了有效率地收集乾草而製作的農具。\n做得十分輕巧，不分男女老幼皆可使用，\n前端分成四根，相當鋒利。
Weapon_Spear_023,Ancient Spear,古代兵裝‧槍,守護者使用的槍，\n利用古代技術的研究成果製成。\n槍尖的藍色刀刃具有很強的穿透力。\n
Weapon_Spear_024,Royal Halberd,王族之槍,此槍被賜予負責守衛謁見廳等\n城堡中重要場所的騎士。\n經由王室御用工匠之手施加了美麗的裝飾。
Weapon_Spear_025,Forest Dweller's Spear,森民之槍,據說是克洛格族為人類製作的槍。\n以輕巧堅固的木頭為材料，使用起來十分順手。\n槍尖是以特別堅硬的木頭削製而成。
Weapon_Spear_027,Zora Spear,卓拉之槍,是卓拉族常用的槍。\n不只是捕魚，也可在抵禦外敵時的戰鬥中使用。\n以特殊金屬製成，所以比外觀看起來還要輕巧。
Weapon_Spear_028,Silverscale Spear,銀鱗之槍,卓拉族中特別驍勇善戰者所使用的槍。\n擁有如魚尾般美麗設計的刃，\n尖端十分鋒利，甚至能穿透堅硬的鱗片。
Weapon_Spear_029,Gerudo Spear,格魯德之槍,格魯德族士兵使用的一般的槍。\n因為槍頭有一定重量，所以使用較為困難。\n若由高大的格魯德族使用，則能發揮可靠的實力。
Weapon_Spear_030,Throwing Spear,投槍,特別為了投擲突刺設計的特殊長槍。\n透過取得槍尖與槍柄間的平衡，\n能比一般的槍投擲得更遠。
Weapon_Spear_031,Drillshaft,削岩棒,回收鼓隆族製作的金屬零件製成的武器。\n前端使用了用於挖掘的零件，\n即使是堅硬的礦石也能輕易砸碎。
Weapon_Spear_032,Feathered Spear,斬風羽槍,利特族士兵使用的槍。\n為了能在空中振翅時使用，\n製作時選用了輕巧而堅固的材料。
Weapon_Spear_033,Flamespear,火焰槍,據說是以特殊技術\n精煉死亡之山的熔岩製成的魔法槍。\n在閃耀紅色光芒時突刺會發射火焰。
Weapon_Spear_034,Frostspear,冰雪槍,據說是使用蘊藏於海布拉山脈的太古之冰\n鍛造而成的魔法槍。當槍尖閃耀藍白光芒時突刺，\n會發出冷空氣讓對手結凍。\n
Weapon_Spear_035,Thunderspear,雷電槍,據說是讓槍尖不斷接受雷之台地的落雷\n製成的魔法槍。\n當布滿金色光芒時突刺會發出電擊。
Weapon_Spear_036,Wooden Mop,木拖把,經常被用於清掃地板的清潔工具。\n因為是工匠手工打造的，所以非常耐用，\n甚至可以當作武器使用。
