,,,
,,,
Weapon_Shield_001,Wooden Shield,木盾,使用較輕的木材製成的盾，\n戰鬥新手也能輕鬆使用。\n可以承受箭等輕度攻擊。
Weapon_Shield_002,Soldier's Shield,士兵盾,這面盾曾經配給守衛城堡的士兵。\n因為是木製品，所以很輕便且容易使用，\n但是一旦著火就會燒起來，需要特別留意。
Weapon_Shield_003,Knight's Shield,騎士盾,此盾曾為侍奉海拉魯王族的騎士所用。\n金屬製，作工堅固，所以可以耐受激烈戰鬥。\n有一定的重量，必須有相當的技術才能使用。
Weapon_Shield_004,Boko Shield,波克盾,波克布林將掉在路邊的木板\n裝上把手而成的盾。\n非常不耐用，很容易壞掉。
Weapon_Shield_005,Spiked Boko Shield,尖刺波克盾,波克布林用較硬的木頭作成的盾。\n在木板上綁上了動物的骨頭，\n增加了其強度。
Weapon_Shield_006,Dragonbone Boko Shield,龍骨波克盾,在邊緣裝上了化石骨頭，經過強化的波克盾。\n改良過後可以承受較強的攻擊，\n不過作工仍然很粗糙，所以並不耐用。
Weapon_Shield_007,Lizal Shield,蜥蜴盾,蜥蜴戰士愛用的盾。\n由金屬製成，但因為作工粗糙，\n所以並不怎麼耐用。
Weapon_Shield_008,Reinforced Lizal Shield,強力蜥蜴盾,透過組合不同種類的金屬，\n強度得以提高的蜥蜴盾。\n邊緣上有尖刺，使用時要小心。
Weapon_Shield_009,Steel Lizal Shield,鋼鐵蜥蜴盾,裝上許多片金屬裝甲的蜥蜴盾。\n防禦力很高，但也很沉重，\n只有戰鬥能力強的蜥蜴戰士才會裝備。
Weapon_Shield_013,Guardian Shield,守護者之盾,使用古代希卡族技術製作的盾。\n只要防禦就能反射\n小型守護者放出的光束攻擊。
Weapon_Shield_014,Guardian Shield+,守護者之盾+,輸出增強，尺寸更大的守護者之盾，\n使用現在已失傳的古代技術製成，\n防禦力不輸金屬盾。
Weapon_Shield_015,Guardian Shield++,守護者之盾++,輸出增強至最大限度的古代盾。\n擁有金屬盾沒有的輕巧和防禦力，\n還能反射小型守護者的光束。\n
Weapon_Shield_016,Lynel Shield,萊尼爾盾,萊尼爾裝備的堅固金屬盾。\n雖然是盾，但上頭也有刃，\n所以可以利用刀刃斬擊。
Weapon_Shield_017,Mighty Lynel Shield,獸王盾,增加了裝甲和刃的萊尼爾盾，\n無論攻防都得到了強化。\n邊緣的刃非常銳利，可以切開簡單的防具。
Weapon_Shield_018,Savage Lynel Shield,獸神盾,不管是多麼猛烈的攻擊都能輕鬆防禦，\n還擁有能斬斷強敵的刃，是終極的盾。\n受到白髮萊尼爾的愛用。
Weapon_Shield_021,Rusty Shield,生鏽的盾,似乎是騎士用過的老舊金屬盾。\n經過長時間棄置，所以生鏽了。\n雖然防禦力下降，但還能用。
Weapon_Shield_022,Royal Shield,王族盾,此盾只授予海拉魯騎士中執行王族護衛任務者。\n擁有美麗裝飾和高度防禦力，\n是極具魅力的精品。
